date_found,category,source,title,company,location,comp,link
2026-07-20,Closer,JSearch,Outbound Cold Caller / Sales Representative- Experienced / Remote,Cast Capital Lending Corp,Remote,$53417-$62080,https://www.indeed.com/viewjob?jk=5a7d070a9dfb4a9c
2026-07-20,Success (CSM / customer / client / onboarding),Adzuna,Onboarding Operations Specialist - APAC,Remote.com,Australia,$28200-$71400,https://www.adzuna.com.au/details/5742825089?utm_medium=api&utm_source=3e941a8f
2026-07-20,VA / Social / Chat,Jooble,Virtual Assistant (remote-work),Jobs for Humanity,United States,,https://jooble.org/jdp/-2934499589384347099
