date_found,category,source,title,company,location,comp,link
2026-07-25,Setter / SDR,Adzuna,Sales Development Representative,AutoLeap,"Atlanta, Fulton County",$100919-$100919,https://www.adzuna.com/land/ad/5792085492?se=rNTm6LuH8RGrg5YQe_eAEA&utm_medium=api&utm_source=3e941a8f&v=003A1F6492A6FC4F44D0C2D6A0FF9EF3CC1E7270
2026-07-25,Setter / SDR,Adzuna,Sales Development Representative,Carbon Robotics,"Seattle, King County",$104469-$104469,https://www.adzuna.com/land/ad/5814128284?se=rNTm6LuH8RGrg5YQe_eAEA&utm_medium=api&utm_source=3e941a8f&v=1C9D15F8D2AE0115E4FA83038F7A638A270A5DA4
2026-07-25,VA / Social / Chat,Adzuna,Virtual Assistant (Work from home),Qureos Inc,"Toronto, Ontario",,https://www.adzuna.ca/details/5814356975?utm_medium=api&utm_source=3e941a8f
