date_found,category,source,title,company,location,comp,link
2026-07-15,Closer,Jooble,"Senior High-Ticket Closer - Remote, Flexible Schedule",Curvion Blue,"Dallas, TX",,https://jooble.org/jdp/-7212659559922284298
2026-07-15,Closer,Jooble,Remote Senior B2B Closer — High-Ticket Deals,Find co,"New York, NY","$6,000 per month",https://jooble.org/jdp/-7765677496324571362
2026-07-15,Closer,Jooble,Remote Peptide Wellness Marketing Closer — High-Ticket Revenue,GoGlow Media,"Tampa, FL","$1,000 per month",https://jooble.org/jdp/2824522563408872814
2026-07-15,Success (CSM / customer / client / onboarding),JSearch,Mid-Market Customer Success Manager - Americas,Ashby,Remote,$110000-$161000,https://jobs.ashbyhq.com/ashby/38281574-0880-473a-a4f1-bfbb7eedfa18
2026-07-15,VA / Social / Chat,Jooble,Virtual Assistant - Guest Booking,Huzzle,Remote,,https://jooble.org/jdp/3787194916899201099
2026-07-15,VA / Social / Chat,Jooble,Administrative & Coordination Virtual Assistant,Hyre,Remote,,https://jooble.org/jdp/-9099000509980979424
2026-07-15,VA / Social / Chat,Jooble,Virtual Assistant,The Boutique COO,Remote,,https://jooble.org/jdp/5547363562410964115
