date_found,category,source,title,company,location,comp,link
2026-07-29,Setter / SDR,Jooble,Sales Development Representative (SDR),Chapter 2,United States,$65k - $80k,https://jooble.org/jdp/-2491156617374498120
2026-07-29,VA / Social / Chat,JSearch,Virtual Assistant and Customer Service Needed,remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/virtual-assistant-and-customer-service-needed
2026-07-29,VA / Social / Chat,JSearch,Virtual Assistant - Fully REMOTE,remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/virtual-assistant-fully-remote
2026-07-29,VA / Social / Chat,JSearch,Virtual Assistant - (Entry Level),remote zest jobs,Remote,,https://remotezest.up.railway.app/job/virtual-assistant-entry-level-3
