date_found,category,source,title,company,location,comp,link
2026-07-02,Closer,Jooble,SaaS High-ticket Closer,Trivium LLC,United States,$52k,https://jooble.org/jdp/8560156827573799422
2026-07-02,Closer,Jooble,SaaS High-Ticket Closer,Virtual Vocations Inc,United States,,https://jooble.org/jdp/500844169608414344
2026-07-02,Setter — DM Setting,JSearch,High Ticket Appointment Setter (Remote),Identity Evolution Co,Remote,$36000-$72000,https://www.simplyhired.com/job/NhZqk4Xg3xkNORv_cW5S8TV9drYtye_zLefVrWw4vk8n07Jb4bgh5Q
2026-07-02,Success (CSM / customer / client / onboarding),Jooble,Customer Success Manager,Azul,United States,$165k - $180k,https://jooble.org/jdp/2050128299207422365
2026-07-02,VA / Social / Chat,Jooble,Virtual Assistant,Bravo Quality Supply LLC,United States,,https://jooble.org/jdp/-1003968277206310176
2026-07-02,VA / Social / Chat,Jooble,"Virtual Assistant, Data Entry Jr - Remote Data Management and Administration",Jobs for Humanity,United States,,https://jooble.org/jdp/6371283617525961062
2026-07-02,VA / Social / Chat,Jooble,Real Estate Listing & Admin Virtual Assistant,Medium,"Stockton, CA",$25 per hour,https://jooble.org/jdp/-4856093238956786927
2026-07-02,VA / Social / Chat,Himalayas,Virtual Assistant (Non Voice),Outsourcey,United States,,https://himalayas.app/companies/outsourcey/jobs/virtual-assistant-non-voice-9008512476
2026-07-02,VA / Social / Chat,Jooble,Virtual Assistant NI (Remote),Simera,"San Francisco, CA",,https://jooble.org/jdp/406590229442245719
