date_found,category,source,title,company,location,comp,link
2026-08-16,Closer,Jooble,Sales Closer,Evolution Financial Group,United States,$100k,https://jooble.org/jdp/6593505389700984294
2026-08-16,Closer,Himalayas,Solutions Consultant,name,United States,,https://himalayas.app/companies/radicle-health/jobs/solutions-consultant-2589170002
2026-08-16,Closer,Jooble,"Remote High-Ticket Closer — Evenings & Weekends, $100K+",Theinvestorsedge,"Cincinnati, OH",$100k,https://jooble.org/jdp/-7072282357368595815
2026-08-16,Setter / SDR,Arbeitnow,Sales Development Representative,Livekit,"Remote, London",,https://www.arbeitnow.co.uk/jobs/companies/livekit/remote-sales-development-representative-69828
