date_found,category,source,title,company,location,comp,link
2026-08-14,Closer,WeWorkRemotely,"Regional Sales Director, Central AMER",Cockroach Labs,Anywhere in the World,,https://weworkremotely.com/remote-jobs/cockroach-labs-regional-sales-director-central-amer
2026-08-14,Closer,Arbeitnow,"Director, Sales - EMEA",Dotmatics,Remote,,https://www.arbeitnow.co.uk/jobs/companies/dotmatics/director-sales-emea-273383
2026-08-14,Closer,Himalayas,Senior Sales Recruiter — Americas,Zscaler,United States,,https://himalayas.app/companies/zscaler/jobs/senior-sales-recruiter-americas-6085991191
2026-08-14,Setter / SDR,Himalayas,Enterprise Sales Director,Parallel Domain,United States,,https://himalayas.app/companies/parallel-domain/jobs/enterprise-sales-director
2026-08-14,VA / Social / Chat,Jooble,Virtual Assistant,Careerswift,United States,$18 - $25 per hour,https://jooble.org/jdp/177813944732442210
