date_found,category,source,title,company,location,comp,link
2026-08-08,Closer,Jooble,Sales Development Representative,CJ Physical Therapy & Pilates,United States,$50k,https://jooble.org/jdp/-996169788370906216
2026-08-08,Closer,Himalayas,"Enterprise Account Executive, Corporate",name,United States,,https://himalayas.app/companies/alphasense/jobs/enterprise-account-executive-corporate-1795266169
2026-08-08,Closer,Himalayas,Account Executive (Technical/Engineered Sales + High Value Deals Req.),name,United States,,https://himalayas.app/companies/twiceasnice-recruiting/jobs/account-executive-technical-engineered-sales-high-value-deals-req
2026-08-08,Closer,Adzuna,Sales Closer,Simour Design INC,US,$48000-$70000,https://www.adzuna.com/details/5832851368?utm_medium=api&utm_source=3e941a8f
2026-08-08,Setter / SDR,Jooble,Sales Development Representative,Censys,United States,$105k - $130k,https://jooble.org/jdp/-4379172258494022519
2026-08-08,VA / Social / Chat,Himalayas,Real Estate Virtual Assistant for RE Company in FL,name,United States,,https://himalayas.app/companies/realynk-assistants/jobs/real-estate-virtual-assistant-for-re-company-in-fl
