date_found,category,source,title,company,location,comp,link
2026-07-28,Closer,JSearch,Remote High Ticket Closer (Selling FB advertising agency services to Deck Builders),More Job Calls LLC,Remote,$12000-$20000,https://www.indeed.com/viewjob?jk=258b75f51949f196
2026-07-28,Closer,Jooble,Remote High Ticket Sales Closer - Hot Leads,My Solar Claim,"New York, NY","$5,000 - $15,000 per week",https://jooble.org/jdp/-880679181847000940
2026-07-28,Closer,JSearch,High-Ticket Closer ( /y),remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/high-ticket-closer-y
2026-07-28,Closer,JSearch,"High-Ticket Closer - Fitness, Remote, Commission-Based",remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/high-ticket-closer-fitness-remote-commission-based
2026-07-28,Closer,The Muse,Account Executive II - Retail Partnerships (US & Canada),Uber,"Chicago, IL, New York, NY, San Francisco, CA",,https://www.themuse.com/jobs/uber/account-executive-ii-retail-partnerships-us-canada
2026-07-28,VA / Social / Chat,Jooble,Virtual Assistant - GHL Experience,The Boutique Coo,United States,,https://jooble.org/jdp/-4098526078194042945
