date_found,category,source,title,company,location,comp,link
2026-07-19,Closer,Himalayas,"Manager, Complaint Analyst - Remote, USA",Calyxo,United States,,https://himalayas.app/companies/calyxo/jobs/manager-complaint-analyst-remote-usa
2026-07-19,Closer,Himalayas,"Sales Director, Independent Pharmacy Business Development",Cardinal Health,United States,,https://himalayas.app/companies/cardinal-health/jobs/sales-director-independent-pharmacy-business-development
2026-07-19,Closer,JSearch,Remote Sales Closer – Join a Fast-Growing Team,The Investors Edge,Remote,,https://www.indeed.com/viewjob?jk=cbaeb40c404129bf
2026-07-19,Success (CSM / customer / client / onboarding),JSearch,Customer Success Manager - Global Public Sector (Education),"100 Salesforce, Inc.",Remote,,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Customer-Success-Manager---Global-Public-Sector--Education-_JR350308-1
2026-07-19,Success (CSM / customer / client / onboarding),Himalayas,Senior Customer Success Manager,Verifiable,United States,,https://himalayas.app/companies/verifiable/jobs/senior-customer-success-manager
2026-07-19,VA / Social / Chat,Adzuna,"Virtual Assistant – Property Management (Full-Time, Remote)",,UK,$31619-$31619,https://www.adzuna.co.uk/jobs/details/5805806922?utm_medium=api&utm_source=3e941a8f
