date_found,category,source,title,company,location,comp,link
2026-07-21,Closer,JSearch,"Remote High-Ticket Sales Closer — Warm, Triple-Qualified Leads | One-Call Close | Uncapped Comms!",Fit Bodies Inc,Remote,$70000-$300000,https://www.indeed.com/viewjob?jk=127b7a41d887d083
2026-07-21,Closer,JSearch,Remote High-Ticket Sales Closer,Paramount Tax Richardson,Remote,,https://app.remotelatinos.com/job/remote-high-ticket-sales-closer-id6a5939b5304c118f75f8c6f4
2026-07-21,Closer,JSearch,Remote Sales Closer | Financial Industry | $15k+/mo w/o Degree,remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/remote-sales-closer-financial-industry-15kmo-wo-degree-1
2026-07-21,Closer,JSearch,Remote Appointment Setter — Get Paid Weekly for Every Appointment That Shows,Triangle Advertising Infrastructure Systems,Remote,,https://www.indeed.com/viewjob?jk=7eba5f244d78b254
2026-07-21,Setter / SDR,Jooble,High Ticket Appointment Setter,Virtual Vocations Inc,United States,,https://jooble.org/jdp/920801837634740837
2026-07-21,Success (CSM / customer / client / onboarding),Arbeitnow,Forward Deployed Engineer - Integrations & Customer Success (f/m/d),VOIDS Technology GmbH,Hamburg,,https://www.arbeitnow.com/jobs/companies/voids-technology-gmbh/forward-deployed-engineer-integrations-customer-success-hamburg-98920
2026-07-21,VA / Social / Chat,Adzuna,Entry-Level Virtual Assistant (Remote),Kanz,"Barton, South Canberra",,https://www.adzuna.com.au/details/5808584647?utm_medium=api&utm_source=3e941a8f
