date_found,category,source,title,company,location,comp,link
2026-07-23,Closer,WeWorkRemotely,Strategic Enterprise Account Executive,Asana,Anywhere in the World,,https://weworkremotely.com/remote-jobs/asana-strategic-enterprise-account-executive
2026-07-23,Closer,JSearch,Remote High-Ticket Closer (Inbound Leads Only) – $12K–$15K Offer,Attorneyattraction.com,Remote,$8000-$25000,https://www.simplyhired.com/job/sVl1BSIChFary3SHILyO5vv_7AjCYH7UocufrolfDBUVb9cIJT2RMw
2026-07-23,Closer,JSearch,Remote High Ticket Closer,Home Health Leaders,Remote,$10000-$25000,https://www.indeed.com/viewjob?jk=e444bcf53911401d
2026-07-23,Closer,JSearch,High Ticket Closer-Remote,remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/high-ticket-closer-remote-4
2026-07-23,Closer,JSearch,High-Ticket Closer (Remote),remote click jobs,Remote,,https://remoteclickjobs-production.up.railway.app/job/high-ticket-closer-remote-6
2026-07-23,Closer,JSearch,Remote High Ticket Closer,remote zest jobs,Remote,,https://remotezest.up.railway.app/job/remote-high-ticket-closer-16
2026-07-23,Closer,WeWorkRemotely,Senior Presales Engineer,Twilio,Anywhere in the World,,https://weworkremotely.com/remote-jobs/twilio-senior-presales-engineer
2026-07-23,Setter / SDR,Adzuna,Sales Development Representative,BCI Worldwide,"Orlando, Orange County",$116805-$116805,https://www.adzuna.com/land/ad/5811836020?se=GqwUAp-G8RGOTokAaHxoXQ&utm_medium=api&utm_source=3e941a8f&v=D62D150E02567ECE802852C45475B8F7DA6A9305
2026-07-23,Setter / SDR,Adzuna,Sales Development Representative,Nurtured,"New York City, New York",$77847-$77847,https://www.adzuna.com/land/ad/5811839379?se=GqwUAp-G8RGOTokAaHxoXQ&utm_medium=api&utm_source=3e941a8f&v=4FF4E0A04F5CD160ECE2ADFD5BF1CEDFC77E4285
2026-07-23,Setter / SDR,Himalayas,Business Development Manager,"Root, Inc.",United States,,https://himalayas.app/companies/joinroot/jobs/business-development-manager
