date_found,category,source,title,company,location,comp,link
2026-06-29,Closer,Adzuna,High Ticket Appointment Setter (Warm Leads),Curvion Blue,"Boston, Suffolk County",$71091-$71091,https://www.adzuna.com/land/ad/5780797468?se=RHKG88Jz8RG5B_ZD6wKS8Q&utm_medium=api&utm_source=3e941a8f&v=40276A4B5AA7C89F739F8135D924616ED621FC76
2026-06-29,Closer,Jooble,Senior High-Ticket Closer - Growth Consulting (Remote),Curvion Blue,"New York, NY",$90k - $360k,https://jooble.org/jdp/-2870937180305565333
2026-06-29,Closer,Jooble,High-Ticket Closer Wanted: Join Our Fast-Growing Team and Work with Warm Leads Remotely!,Outsourced Doers,"New York, NY",$80k - $220k,https://jooble.org/jdp/5997360084442290718
2026-06-29,Closer,Jooble,Remote B2B Ad Sales Closer - Top Commissions,Terraboost Media,"Tacoma, WA",,https://jooble.org/jdp/-7506434321827742271
2026-06-29,Setter / SDR,Jooble,Sales Business Development Representative,BluZinc,"Rancho Santa Margarita, CA",$120k,https://jooble.org/jdp/4186580017763898109
