date_found,category,source,title,company,location,comp,link
2026-08-04,Closer,Arbeitnow,Account Executive,Adthena,"London, United Kingdom",,https://www.arbeitnow.co.uk/jobs/companies/adthena/account-executive-london-17749
2026-08-04,Closer,Adzuna,| Remote |High-Ticket Sales Closer (Media/Marketing) | ~$250k OTE,Inside Success TV,"Carl Fisher, Miami-Dade County",$100000-$250000,https://www.adzuna.com/details/5827325270?utm_medium=api&utm_source=3e941a8f
2026-08-04,Closer,Arbeitnow,Solutions Architect - DACH,Pigment,Remote,,https://www.arbeitnow.com/jobs/companies/pigment/remote-solutions-architect-dach-60544
2026-08-04,Success (CSM / customer / client / onboarding),Adzuna,Customer Success Manager – UiPath,"Collaborate Solutions, Inc.",US,$102318-$102318,https://www.adzuna.com/land/ad/5826789509?se=otMlEhWQ8RGLwZkdgahNug&utm_medium=api&utm_source=3e941a8f&v=05CBF56382B34558329D58D078A24FC2166CF76F
2026-08-04,VA / Social / Chat,Adzuna,Virtual Assistant,,UK,$34609-$34609,https://www.adzuna.co.uk/jobs/details/5826314136?utm_medium=api&utm_source=3e941a8f
